"Country_name","Year","GDP_per_capita","Death_rate","Diet_high_in_sodium","Diet_low_in_whole_grains","Alcohol_use","Diet_low_in_fruits","Diet_low_in_nuts_and_seeds","Diet_low_in_vegetables","Low_physical_activity","Drug_Use","High_body_mass_index"
"Afghanistan",2010,"2026.1638","8.254",1248,8512,492,4022,3038,4400,3344,463,13785
"Albania",2010,"10751.421","7.029",1867,1161,664,187,301,45,210,94,2268
"Algeria",2010,"11007.747","4.754",1461,11088,935,2247,4419,2195,6517,750,25412
"Angola",2010,"7691.1313","11.177",950,1459,10471,1284,424,1070,515,342,3502
"Antigua and Barbuda",2010,"18702.09","5.7",9,23,23,5,4,7,15,1,67
"Argentina",2010,"23521.27","7.661",6464,10345,17750,1995,5011,2945,829,2416,30861
"Armenia",2010,"9068.788","9.384",1113,2369,907,382,1002,30,506,77,4191
"Australia",2010,"44965.395","6.498",1001,4574,7247,2239,813,1403,4010,1880,15129
"Austria",2010,"51843.43","9.235",2146,2891,4961,682,505,772,2154,647,7955
"Azerbaijan",2010,"14082.238","7.167",3011,6057,3496,1443,1969,221,1011,278,11284
"Bahamas",2010,"34688.094","6.269",36,71,119,28,7,17,44,8,335
"Bahrain",2010,"45600.066","1.883",21,171,53,21,27,10,136,21,672
"Bangladesh",2010,"3395.3647","6.106",15974,11546,7837,25029,11498,18666,7757,981,27759
"Barbados",2010,"16019.508","9.037",23,77,91,52,2,26,89,4,344
"Belarus",2010,"17300.703","14.835",2815,13981,12642,4185,5288,1493,3165,1258,20076
"Belgium",2010,"47972.56","9.71",1896,3236,7207,1289,421,567,2348,784,7727
"Belize",2010,"8988.865","4.66",18,35,85,2,1,17,32,5,203
"Benin",2010,"2634.1348","10.461",620,601,1429,743,36,410,246,69,2882
"Bermuda",2010,"88399.914","6.751",8,20,18,8,3,5,16,2,62
"Bhutan",2010,"7958.227","6.808",67,84,83,70,45,56,56,23,210
"Bolivia",2010,"6499.8184","7.66",1108,1195,2543,691,57,731,412,160,6182
"Bosnia and Herzegovina",2010,"10637.086","9.499",3087,1508,1199,734,732,220,605,176,5391
"Botswana",2010,"12653.371","8.93",135,250,1028,341,155,184,126,229,1427
"Brazil",2010,"14824.741","6.199",26427,28733,73374,10499,596,15302,37335,5926,140489
"Brunei",2010,"66484.24","3.751",52,46,11,35,3,19,26,10,127
"Bulgaria",2010,"18163.873","15.312",15182,7446,7742,3648,2522,626,1928,632,21849
"Burkina Faso",2010,"1661.8721","11.253",969,1408,5308,1645,80,1115,279,224,3512
"Burundi",2010,"804.3549","10.538",905,733,4586,213,328,620,77,102,1184
"Cambodia",2010,"2706.9917","6.121",2915,977,6530,2177,136,1596,462,1036,3046
"Cameroon",2010,"3298.6245","10.992",1354,1548,7205,1032,26,794,681,429,9916
"Canada",2010,"44861.523","7.083",3698,7816,10867,3310,260,1942,4626,3436,23677
"Cape Verde",2010,"5860.4985","6.409",40,55,149,52,7,23,24,6,194
"Central African Republic",2010,"1130.8958","14.534",291,446,2058,477,8,466,144,231,1061
"Chad",2010,"1741.054","15.421",659,1291,2559,1120,142,830,198,122,1786
"Chile",2010,"21225.104","5.962",2458,2653,7200,1277,899,610,952,1376,11182
"China",2010,"8884.588","6.481",741952,302572,459307,239022,85579,19690,111986,67547,533220
"Colombia",2010,"11890.203","4.924",8536,5906,7023,2047,2584,3025,1807,393,19349
"Comoros",2010,"3025.5173","9.457",103,67,47,38,12,63,8,4,211
"Congo",2010,"4977.973","8.123",283,421,1239,375,16,388,195,148,2074
"Costa Rica",2010,"16667.016","4.552",565,607,845,133,192,275,99,73,2002
"Cote d'Ivoire",2010,"3673.1814","11.187",1288,1776,6165,1147,36,1196,517,1095,6057
"Croatia",2010,"24590.521","12.332",4528,2618,3247,841,804,692,985,152,7399
"Cyprus",2010,"38405.41","6.412",124,356,300,85,24,81,184,23,690
"Czechia",2010,"33483.137","10.208",8314,4819,6772,2509,1931,1890,2669,570,15486
"Democratic Republic of Congo",2010,"841.85626","11.653",2065,4765,9633,5659,447,5146,1905,1048,11827
"Denmark",2010,"50825.414","9.792",634,1771,3768,471,397,381,1039,475,3873
"Dominica",2010,"12335.11","11.573",13,28,29,1,1,6,19,1,102
"Dominican Republic",2010,"12677.018","5.821",1008,2033,2593,273,105,1006,1697,164,5664
"Ecuador",2010,"10355.822","4.852",1612,1745,3912,295,879,961,728,204,9916
"Egypt",2010,"9807.836","6.018",4762,26504,4615,3466,7467,399,18311,1196,96204
"El Salvador",2010,"7412.978","6.758",852,841,1887,448,47,411,200,81,3938
