Country,Longitude,Latitude
Afghanistan,66.2385139,33.7680065
Albania,19.9999619,41.000028
Algeria,2.9999825,28.0000272
American Samoa,-170.7131481,-14.297124
Andorra,1.5732033,42.5407167
Angola,17.5691241,-11.8775768
Antigua and Barbuda,-61.9554608,17.2234721
Argentina,-64.9672817,-34.9964963
Armenia,44.6736646,40.7696272
Australia,134.755,-24.7761086
Austria,14.12456,47.59397
Azerbaijan,47.7872508,40.3936294
Bahamas,-78.0000547,24.7736546
Bahrain,50.5344606,26.1551249
Bangladesh,90.2934413,24.4769288
Barbados,-59.5250305,13.1500331
Belarus,27.6971358,53.4250605
Belgium,4.6667145,50.6402809
Belize,-88.7600927,16.8259793
Benin,2.2584408,9.5293472
Bermuda,-64.7563086,32.3040273
Bhutan,90.5119273,27.549511
Bolivia,-64.9912286,-17.0568696
Bosnia and Herzegovina,17.5961467,44.3053476
Botswana,24.5928742,-23.1681782
Brazil,-53.2,-10.3333333
Brunei,114.5653908,4.4137155
Bulgaria,25.4856617,42.6073975
Burkina Faso,-1.6880314,12.0753083
Burundi,29.9324519,-3.426449
Cambodia,104.8144914,12.5433216
Cameroon,13.1535811,4.6125522
Canada,-107.991707,61.0666922
Cape Verde,-24.0083947,16.0000552
Central African Republic,19.9981227,7.0323598
Costa Rica,-84.1756626,9.5364569
Chad,19.0156172,15.6134137
Chile,-71.3187697,-31.7613365
China,104.999927,35.000074
Colombia,-72.9088133,4.099917
Comoros,44.2832964,-12.2045176
Congo,23.8222636,-2.9814344
Cook Islands,-157.7858714,-19.9969716
Cote d'Ivoire,-5.5679458,7.9897371
Croatia,15.6575209,45.3658443
Cuba,-80.8328748,23.0131338
Cyprus,33.1451285,34.9823018
Czechia,15.3381061,49.7439047
Democratic Republic of Congo,28.289698,-15.4139213
Denmark,10.3333283,55.670249
Djibouti,42.8453061,11.8145966
Dominica,-61.3653618,15.4113138
Dominican Republic,-70.3028026,19.0974031
Ecuador,-79.3666965,-1.3397668
Egypt,29.2675469,26.2540493
El Salvador,-88.9140683,13.8000382
Equatorial Guinea,10.5170357,1.613172
Eritrea,37.9999668,15.9500319
Estonia,25.3319078,58.7523778
Eswatini,31.3991317,-26.5624806
Ethiopia,38.6521203,10.2116702
Fiji,179.0122737,-18.1239696
Finland,25.9209164,63.2467777
France,1.8883335,46.603354
Gabon,11.6899699,-0.8999695
Gambia,-15.4900464,13.470062
Georgia,-83.1137366,32.3293809
Germany,10.4478313,51.1638175
Ghana,-1.0800271,8.0300284
Greece,21.9877132,38.9953683
Greenland,-42.8125967,77.6192349
Grenada,-61.6904045,12.1360374
Guam,144.757551,13.4501257
Guatemala,-90.345759,15.5855545
Guinea,-10.7083587,10.7226226
Guinea-Bissau,-15.2351044,11.815215
Guyana,-58.6416891,4.8417097
Haiti,-72.3570972,19.1399952
Honduras,-86.0755145,15.2572432
Hungary,19.5060937,47.1817585
Iceland,-18.1059013,64.9841821
India,78.6677428,22.3511148
Indonesia,117.8902853,-2.4833826
Iran,54.5643516,32.6475314
Iraq,44.1749775,33.0955793
Ireland,-7.9794599,52.865196
Israel,34.8594762,30.8124247
Italy,12.674297,42.6384261
